PrdAcctId,Years since opening the account,churn?,ActTotBalFcy,CityCd,PinCode,Age,years for cust,CusType,MaritalStatus,ProfCd,SexCode,MemberType,KYCYN
SB,13.0,1,0.0,MUM,400088,42.0,20.0,2.0,2.0,99.0,M ,0.0,Y
SB,12.0,0,20.4,MUM,400071,33.0,8.0,2.0,1.0,0.0,M ,0.0,Y
SB,16.0,0,0.0,MUM,400089,42.0,20.0,1.0,2.0,0.0,M ,0.0,Y
SB,13.0,0,14564.91,MUM,400088,56.0,7.0,1.0,2.0,99.0,M ,1.0,Y
SB,13.0,0,0.0,MUM,400088,56.0,7.0,1.0,2.0,99.0,M ,1.0,Y
SB,16.0,0,192.38,MUM,410206,34.0,6.0,1.0,2.0,3.0,M ,1.0,Y
SB,14.0,0,112.58,MUM,400701,33.0,12.0,1.0,1.0,1.0,M ,0.0,Y
OD,9.0,0,0.0,NMM,400709,70.0,20.0,10.0,2.0,0.0,M ,1.0,Y
OD,8.0,0,0.0,NMM,400709,70.0,20.0,10.0,2.0,0.0,M ,1.0,Y
OD,8.0,0,0.0,NMM,400709,70.0,20.0,10.0,2.0,0.0,M ,1.0,Y
SB,12.0,0,1481.84,MUM,400071,55.0,33.0,1.0,2.0,11.0,M ,1.0,Y
SB,16.0,0,5228.05,MUM,400709,57.0,5.0,11.0,1.0,3.0,M ,0.0,Y
SB,13.0,0,3849.5,MUM,400709,65.0,12.0,10.0,2.0,0.0,F ,1.0,Y
SB,15.0,0,23879.01,MUM,400709,54.0,26.0,1.0,2.0,1.0,M ,1.0,Y
OD,1.0,0,-435916.8,MUM,400071,41.0,23.0,1.0,2.0,0.0,M ,0.0,Y
OD,8.0,0,0.0,MUM,400071,41.0,23.0,1.0,2.0,0.0,M ,0.0,Y
SB,16.0,0,0.46,MUM,400022,48.0,20.0,1.0,1.0,0.0,M ,0.0,Y
SB,16.0,0,0.0,MUM,400070,120.0,120.0,1.0,1.0,0.0,M ,0.0,Y
SB,13.0,0,1123.0,MUM,400071,53.0,6.0,2.0,1.0,0.0,M ,0.0,Y
OD,6.0,0,-193481.0,MUM,400071,120.0,120.0,2.0,2.0,0.0,M ,2.0,Y
SB,15.0,0,133.0,MUM,400088,47.0,5.0,2.0,2.0,0.0,M ,0.0,Y
SB,13.0,0,171.47,MUM,400093,46.0,20.0,2.0,2.0,1.0,M ,0.0,Y
SB,16.0,1,0.0,MUM,400043,50.0,20.0,2.0,2.0,1.0,M ,0.0,Y
SB,16.0,0,61.24,MUM,400071,45.0,19.0,2.0,2.0,1.0,M ,0.0,Y
